Name,Address,County,ig_xcord,ig_ycord
Bradley's Pharmacy,"50 Lower Dorset Street, Dublin 1",Dublin,315869.06,235851.34
Brady's Pharmacy,"12 Upper Camden Street, Dublin 2",Dublin,315626.27,232769.51
Brady's Pharmacy,"Unit 3 Skerries Point Shopping Centre, Kelly's Bay, Skerries, Co. Dublin",Dublin,323551.28,260645.86
Brecan Pharmacy,"Unit 2, Brecan House, Ballbriggan, Co. Dublin",Dublin,320190.656,263801.125
Brennan's Life Pharmacy,"1 Fairways Mall, Donabate, Co. Dublin",Dublin,322920.22,250060.31
Brennan's Pharmacy,"Taylors Lane, Ballyboden, Dublin 16",Dublin,313785.38,227059.38
Brookfield Pharmacy,"Unit 3, Sundale Shopping Centre, Fortunestown Way, Tallaght, Dublin 24",Dublin,306200.88,227207.2
Brookwood Pharmacy,"42 Brookwood Rise, Artane, Dublin 5",Dublin,320255.1,237954.64
Burnett's Pharmacy,"Burnett's, 42 George's Street Lower, Dun Laoghaire, Co. Dublin, A96x2y8",Dublin,324089.8136,228607.2499
Byrne's Allcare Pharmacy,"Byrne's, 1 Oxmantown Road, Dublin 7, D07hf43",Dublin,313633.0166,235191.365
Cadden's Pharmacy,"Unit 1, Tower S. Centre, Tower Road, Clondalkin, Dublin 22",Dublin,307020.84,231276.4
Cahill's Allcare Pharmacy,"Cahills Pharmacy, 36 Camden Street Lower, Dublin 2, D02xk68",Dublin,315552.1766,232976.7409
Capel Street Pharmacy Ltd.,"138 Capel Street, Dublin 1",Dublin,315272.781,234464.844
Cassidys Pharmacy,"Unit 3, Chandlers Guild, James's Street, Dublin 8",Dublin,313668.66,233813.69
Cassidys Pharmacy,"449 South Circular Road, Rialto, Dublin 8",Dublin,313416.07,233069.58
Chamber's Pharmacy,"127 Ballymun Road, Glasnevin, Dublin 9",Dublin,315452.71,238625.61
Chapelizod Pharmacy,"Main Street, Chapelizod, Dublin 20",Dublin,310255.56,234474.83
Churchtown Pharmacy,"121 Braemor Road, Churchtown, Dublin 14",Dublin,315814.22,229185.34
City Pharmacy,"14 Dame Street, Dublin 2",Dublin,315577.5,234023.75
Clearwater Pharmacy,"Unit 6A, Clearwater Shopping Centre, Finglas, Dublin 11",Dublin,313352.44,238272.98
Cleary's Pharmacy,"Unit 1, Strand Centre, Strand Road, Portmarnock, Co. Dublin",Dublin,323803.281,242763
Cleary's Pharmacy,"Unit 5, Irish Life Mall, Talbot Street, Dublin 1",Dublin,316119.469,234737.75
Clonsilla Pharmacy,"Clonsilla Pharamacy, The Thatch, Weaver's Row, Clonsilla Road, Dublin 15",Dublin,305762.3876,238143.858
Clontarf Hospital Pharmacy,"Castle Avenue, Clontarf, Dublin 3",Dublin,319246.932,236012.057
Clontarf Pharmacy Ltd,"192b Clontarf Road, Clontarf, Dublin 3",Dublin,320120.87,235842.37
Collis Pharmacy,"350 North Circular Road, Dublin 7",Dublin,314984.83,235860.86
Conefrey's Pharmacy Limited,"136 Pearse Street, Dublin 2",Dublin,316945.34,233946.46
Conway's Pharmacy,"93 Swords Road, Dublin 9, D09p9k5",Dublin,316722.2876,238227.025
Corduff Pharmacy,"Unit 1, Corduff Shopping Centre, Blanchardstown, Dublin 15",Dublin,308166.94,240002.13
Corr's Pharmacy (Clare Hall) Ltd.,"Elmfield Rise, Clare Hall, Dublin 13",Dublin,321705.97,240402.27
Corr's Pharmacy (Clonshaugh) Limited,"Unit 6 Clonshaugh Shopping Centre, Coolock, Dublin 17",Dublin,319286.01,240719
Corrigan's Pharmacy,"Corrigans Pharmacy, 80 Malahide Road, Dublin 3",Dublin,318016.723,236765.663
Cosgrove's Pharmacy,"105 Monkstown Road, Blackrock, Monkstown, Co. Dublin",Dublin,323122.97,228585.13
Costello's Late Night Pharmacy,"25 Marino Mart, Marino, Dublin 3",Dublin,317843.11,236352.14
Crescent Pharmacy,"68 Willow Park Crescent, Glasnevin, Dublin 11",Dublin,314107.38,239464.79
Cromcastle Pharmacy,"69 Cromcastle Road, Coolock, Dublin 5",Dublin,318308.74,239922.34
Cronin's Pharmacy,"1 Edenmore Shopping Centre, Raheny, Dublin 5",Dublin,320910.51,239048.27
Crowley's Pharmacy,"207 Decies Road, Ballyfermot, Dublin 10",Dublin,310309.33,233356.48
Crumlin Road Pharmacy,"Crumlin Pharmacy, 251 Crumlin Road, Dublin 12, D12e6v6",Dublin,312631.3956,232129.1369
Dalkey Pharmacy Ltd,"3 Railway Road, Dalkey, Co. Dublin",Dublin,326588.53,226808.63
Daly's Pharmacy,"109 Cabra Road, Cabra, Dublin 7",Dublin,314217.46,235913.91
Dargan's Chemist Limited,"Dargans, 19 Berkeley Street, Dublin 7, D07nr74",Dublin,315274.8506,235479.373
Darndale Village Pharmacy,"Unit 2, Darndale Belcamp Village Centre, Darndale, Dublin 17",Dublin,320115.53,240547.33
Davis Pharmacy,"34 Fairview Strand, Dublin 3, Dublin 3",Dublin,317265.56,236133.8
Declan O'Sullivan Pharmacy Limited,"Ballymount Road, Walkinstown, Dublin 12",Dublin,311061.88,230894.23
Denis Hickey Ltd,"Main Street, Rush, Co. Dublin",Dublin,326406.24,254142.9
Dermot Moran Pharmacy Ltd,"Firhouse Supervalu Shopping Centre, Firhouse, Tallaght, Dublin 24",Dublin,310686.88,226882
Deveney's Pharmacy,"16 Rathmines Road Upper, Dublin 6, D06pw27",Dublin,315561.1696,231488.4259
DocMorris Pharmacy,"Superquinn Shopping Centre, Blanchardstown, Dublin 15",Dublin,307918.761,238529.52
DocMorris Pharmacy,"Neilstown Shopping Centre, Clondalkin, Dublin 22",Dublin,306581.22,233168.35
DocMorris Pharmacy,"44 Tonlegee Road, Coolock, Dublin 5",Dublin,320131.22,239122.56
DocMorris Pharmacy,"Units 6 - 7, The Mill Shopping Centre, Clondalkin, Dublin 22",Dublin,306909.858,231681.121
DocMorris Pharmacy,"24 Stillorgan Shopping Centre, Stillorgan, Co. Dublin",Dublin,320071.8,228087.14
DocMorris Pharmacy,"Aylesbury Shopping Centre, Tallaght, Dublin 24",Dublin,308986.32,226286.36
DocMorris Pharmacy,"292 Ballyfermot Road, Ballyfermot, Dublin 10",Dublin,309783.102,233703.263
DocMorris Pharmacy,"Unit 7, The Village Centre, Rathborne, Ashtown, Dublin 15",Dublin,310978.41,237488.41
DocMorris Pharmacy,"47 Main Street, Finglas, Dublin 11",Dublin,313308.37,238871.42
DocMorris Pharmacy,"Supervalu Shopping Centre, Killester, Dublin 3",Dublin,319403.58,237068.22
DocMorris Pharmacy,"413 Howth Road, Raheny, Dublin 5",Dublin,321358.27,238157.7
DocMorris Pharmacy,"54 St Brigids Road, Artane, Dublin 5",Dublin,319468.74,238355.77
DocMorris Pharmacy,"Artane Castle Shopping Centre, Kilmore Road, Dublin 5",Dublin,318816.27,238469.72
DocMorris Pharmacy,"2, Kilbarrack Shopping Centre, Kilbarrack, Dublin 5",Dublin,321996.781,239134.954
DocMorris Pharmacy,"Main Street, Tallaght, Dublin 24",Dublin,309596,227683
DocMorris Pharmacy,"Upper George's Street, Dun Laoghaire, Co. Dublin",Dublin,324404.64,228493.32
DocMorris Pharmacy,"11 Braemor Road, Churchtown, Dublin 14",Dublin,316043.81,228694.35
DocMorris Pharmacy,"1 Chaplains Place, Rowlagh, Dublin 22",Dublin,306804.31,233890.61
DocMorris Pharmacy,"39, Stoneybatter, Stoneybatter, Dublin 7",Dublin,314454.938,234681.953
DocMorris Pharmacy,"53 Kilbarrack Road, Kilbarrack, Dublin 5",Dublin,323306.83,238962.57
DocMorris Pharmacy,"103a New Cabra Road, Cabra, Dublin 7",Dublin,314255.78,235915.55
DocMorris Pharmacy,"Unit 3, Main Street, Castleknock Shopping Centre, Castleknock, Dublin 15",Dublin,309127.46,237089.18
DocMorris Pharmacy,"Northside Shopping Centre, Coolock, Dublin 17",Dublin,318885.59,239867.35
DocMorris Pharmacy,"282 Lower Rathmines Road, Rathmines, Dublin 6",Dublin,315631.51,231598.89
DocMorris Pharmacy,"4 Fitzmaurice Road, Glasnevin, Dublin 11",Dublin,314717.12,238267.54
DocMorris Pharmacy,"Units 1-2, Woodview Court, Tandy's Lane, Lucan, Co. Dublin",Dublin,302592.63,234789.52
DocMorris Pharmacy,"10 Upper Drumcondra Road, Drumcondra, Dublin 9",Dublin,316240.56,236827.73
DocMorris Pharmacy,"Superquinn Shopping Centre, Lucan, Co. Dublin",Dublin,303072.36,234170.64
DocMorris Pharmacy,"Castlecourt Shopping Centre, Castleknock, Dublin 15",Dublin,308984.47,237291.98
DocMorris Pharmacy,"Nutgrove Shopping Centre, Rathfarnham, Dublin 14",Dublin,315585.63,227974.68
DocMorris Pharmacy,"2 Main Street, Blanchardstown, Dublin 15",Dublin,308047.34,238607.05
DocMorris Pharmacy,"199 Crumlin Road, Crumlin, Dublin 12",Dublin,312916.19,232184.81
DocMorris Pharmacy,"Superquinn Shopping Centre, Knocklyon, Dublin 16",Dublin,312246.08,227145.94
DocMorris Pharmacy,"Spar Shopping Centre, Carpenterstown Road, Castleknock, Dublin 15",Dublin,307239.32,236964.21
DocMorris Pharmacy,"Bird Avenue, Clonskeagh, Dublin 14",Dublin,317578.32,229737.11
DocMorris Pharmacy,"20 St. Agnes's Road, Crumlin Village, Dublin 12",Dublin,312285.99,231230.1
DocMorris Pharmacy,"8 The Mall, Donnybrook, Dublin 4",Dublin,317472.63,231652.45
DocMorris Pharmacy,"Leopardstown Shopping Centre, Ballyogan Road, Leopardstown, Dublin 18",Dublin,320337.47,224697.98
DocMorris Pharmacy,"Frascati Shopping Centre, Blackrock, Co. Dublin",Dublin,321261.65,229355.22
DocMorris Pharmacy,"Ashleaf Shopping Centre, Crumlin Cross, Dublin 12",Dublin,312183.4,230789.74
Doherty's Pharmacy Ltd,"2 Shantalla Road, Beaumont, Dublin 9",Dublin,317561.13,238700.09
Donabate Pharmacy,"Unit 1, Ballalease North, Portrane Road, Donabate, Co. Dublin",Dublin,323769.5,250743.94
Donaghmede Allcare Pharmacy,"Unit 5, Donaghmede Shopping Centre, Grange Road, Dublin 13",Dublin,322213.1656,239858.026
Doran's Pharmacy Limited,"Ballybrack Shopping Centre, Churchview Road, Ballybrack, Co. Dublin",Dublin,324573.94,224483.83
Dowling's Pharmacy,"147 Church Street, Dublin 7",Dublin,314896.5,234494.93
Dowling's Pharmacy,"6 Lower Baggot Street, Dublin 2",Dublin,316433.06,233371.84
Doyle's Pharmacy,"3 Vernon Avenue, Clontarf, Dublin 3",Dublin,320164,235842.84
Dunville Pharmacy,"32-34 Dunville Avenue, Ranelagh, Dublin 6",Dublin,316216.57,231492.73
Edward Mac Manus Pharmacy,"Civic Centre, Ballymun, Dublin 9",Dublin,315569.97,239741.39
Edward MacManus Pharmacy,"19 Ballymun Shopping Centre, Dublin 11",Dublin,315384.34,239844.54
Errigal Pharmacy Limited,"16 Errigal Road, Drimnagh, Dublin 12",Dublin,311888.91,231901.96
Evelyn Bradley Limited,"48 St. Brigid's Road, Artane, Dublin 5",Dublin,319469.6,238334.03
Farmer's Pharmacy,"Unit 1 Leopardstown Valley Shopping Centre, Ballyogan Road, Sandyford, Dublin 18",Dublin,320306.28,224622.41
Farmer's Pharmacy,"56 Main Street, Dundrum, Dublin 14",Dublin,317198.74,227965.01
Fingal Pharmacy Limited,"Superquinn Shopping Centre, Mc Kee Avenue, Dublin 11",Dublin,313211.01,239129.62
Finnegan's Pharmacy Limited,"41 Sallynoggin Road, Dun Laoghaire, Co. Dublin",Dublin,324046.53,226849.33
Finnstown Pharmacy,"Unit 4 Finnstown Centre, Lucan, Co. Dublin",Dublin,303182.69,233428.83
Fitzmaurice Chemists Limited,"150 Church Road, East Wall, Dublin 3",Dublin,317552.83,235291.23
Flanagan's Berkeley Road Pharmacy Ltd,"18 Berkeley Road, Phibsboro, Dublin 7",Dublin,315226.52,235675.06
Flanagan's Instore Pharmacy,"Clearwater Shopping Centre, Finglas, Dublin 11",Dublin,313352.438,238272.984
Foley's Pharmacy,"Ballyowen Castle S. Centre, Lucan, Co. Dublin",Dublin,305124.96,234159.9
Foley's Pharmacy,"Foley's, 39/40 Meath Street, Dublin 8, D08t0x4",Dublin,314650.4546,233614.341
Foley's Pharmacy,"Unit 8 Palmerstown S.C., Palmerstown, Dublin 20",Dublin,308025.72,234529.94
Foley's Pharmacy,"136 Parnell Street, Dublin 1",Dublin,315985.66,235127.66
Foley's Pharmacy,"Applewood Village, Swords, Co. Dublin",Dublin,317387.53,248223.53
Foley's of Clontarf,"Foleys Pharmacy, 63 Clontarf Road, Dublin 3",Dublin,318664.974,236172.855
Fortfield Pharmacy,"48 Fortfield Park, Terenure, Dublin 6",Dublin,313053.76,229293.6
Freyne & Co. Limited,"Orchard Road, Clondalkin, Dublin 22",Dublin,307110.97,231352.11
Gallery Quay Pharmacy,"Unit G6 Gallery Quay, Grand Canal Dock, Pearse Street, Dublin 2",Dublin,317259.59,233928.98
Galtymore Allcare Pharmacy,"Galtymore Pharmacy, 131 Galtymore Road, Dublin 12, D12hx4a",Dublin,311922.6916,232887.7119
Georges Street Pharmacy,"4 Upper Georges Street, Dun Laoghaire, Co. Dublin",Dublin,324339,228464.11
Gilsenan's Pharmacy,"1-2 Town Centre Mall, Main Street, Swords, Co. Dublin",Dublin,318261.84,246725.78
Glenview Pharmacy Limited,"194 Glenview Park, Tallaght, Dublin 24",Dublin,310483.77,227711.88
Gormley Pharmacy,"5 Nolan Avenue, Churchtown, Dublin 14",Dublin,316306.91,227813.58
Grange Pharmacy,"2 Clonkeen Road, Deansgrange, Blackrock, Co. Dublin",Dublin,322488.425,226907.852
Grattan Pharmacy,"13 Grattan Crescent, Inchicore, Dublin 8",Dublin,311931.36,233507.85
Green Park Pharmacy,"Green Park Shopping Centre, Clondalkin, Dublin 22",Dublin,306450.96,230488.62
Greendale Pharmacy,"Unit 3, Kish House, Greendale Road, Dublin 5",Dublin,322796.1006,238822.4999
Greene's Pharmacy,"36 Main Street, Rathfarnham, Dublin 14",Dublin,314350.06,228896
Greene's Pharmacy Limited,"Greene's, 36 Main Street, Rathfarnham, Dublin 14",Dublin,314278.062,228918.997
Greenhills Pharmacy Limited,"133 St. Peter's Road, Walkinstown, Dublin 12",Dublin,311546.84,230376.31
Greenlea Pharmacy Limited,"116 Greenlea Road, Terenure, Dublin 6W",Dublin,313346.86,229888.33
Griffin's Pharmacy Limited,"Griffins Medical Hall, 1 The Mall, Lower Main Street, Lucan, Co. Dublin",Dublin,303395.344,235436.406
"Guide Pharmacy, St James Hospital","Diabetes Day Centre, Hospital 5, Saint James's Hospital, James's Street, Dublin 8",Dublin,313747.2216,233467.663
Guinness Pharmacy,"Diageo Ireland, St. James's Gate, Dublin 8",Dublin,314329.79,233904.87
HSQ Pharmacy,"Unit 1, Block 7, Heuston South Quarter, Military Road, Dublin 8",Dublin,313481,234020
Hamilton Long Pharmacy,"Unit 5, Lower O'Connell Street, Dublin 1",Dublin,315995.281,234473.75
Hartstown Pharmacy,"Unit 2, Hartstown Shopping Centre, Clonsilla, Dublin 15",Dublin,305151.13,239182.6
Health Express ,"O'farrells Pharmacy, Unit 6, Artane Castle Shopping Centre, Kilmore Road, Dublin 5",Dublin,318740.2696,238492.716
Health Express Pharmacy,"Unit 6, Aylesbury Shopping Centre, Tallaght, Dublin 24",Dublin,308986.32,226286.36
Healthwave,"Dundrum Town Centre, Sandyford Road, Dublin 16",Dublin,317189.906,227708.234
Hermitage Medical Clinic Limited,"Hermitage Medical Clinic, Old Lucan Road, Dublin 20, Dublin 20",Dublin,306276.84,235444.5
Hickey's Pharmacy,"55 Lower O'Connell Street, Dublin 1",Dublin,315942.3,234431.65
Hickey's Pharmacy,"85 Terenure Road North, Dublin 6",Dublin,314498.458,230299.131
Hickey's Pharmacy,"Unit 13, Fortunestown Lane Shopping Centre, Tallaght, Dublin 24",Dublin,307426.48,227428.84
Hickey's Pharmacy,"Unit 10, Main Street, Ongar Village, Dublin 15",Dublin,303886.8,239490.6
Hickey's Pharmacy,"6 Post Office Buildings, Henry Street, Dublin 1",Dublin,315840.76,234642.79
Hickey's Pharmacy,"21 Grafton Street, Dublin 2",Dublin,315951.75,233793.1
Hickey's Pharmacy,"Unit 10, Meakstown Neighbourhood Centre, Meakstown, Finglas, Dublin 11",Dublin,313210.969,240456.281
Hickey's Pharmacy,"3 Cardiffsbridge Road, Finglas, Dublin 11",Dublin,312301.324,238516.975
Hickey's Pharmacy,"33 Northside Shopping Centre, Coolock, Dublin 17",Dublin,318885.59,239867.35
Hickey's Pharmacy,"Dunnes Stores Shopping Centre, Cardiffsbridge Road, Finglas, Dublin 11",Dublin,312371.32,238493.98
Hickey's Pharmacy,"Supervalu, Mckee Avenue, Dublin 11, D11kr8p",Dublin,313133.0116,239152.617
Hickey's Pharmacy,"Garveys, Unit 9, Neilstown Shopping Centre, Neilstown Road, Dublin 22",Dublin,306503.2226,233191.3539
Hickey's Pharmacy,"Supervalu, Mckee Avenue, Dublin 11, D11kr8p",Dublin,313133.0116,239152.617
Hickey's Pharmacy,"290/292 Harold's Cross Road, Dublin 6w",Dublin,314663.258,231334.431
Hickey's Pharmacy,"Unit 6 Phibsboro Shopping Centre, Dublin 7",Dublin,315003.78,236034.04
Hickey's Pharmacy,"18 Meath Street, Dublin 8, D08v2k0",Dublin,314597.3136,233757.9999
Hickey's Pharmacy,"5 Main Street, Finglas, Dublin 11",Dublin,313274.35,238875.64
Hickey's Pharmacy,"Unit 36, Crumlin Shopping Centre, Crumlin, Dublin 12",Dublin,313263.15,232413.06
Hickey's Pharmacy,"Unit 2, Tyrrelstown Town Centre, Dublin 15",Dublin,307510.41,242250.44
Hickey's Pharmacy,"Balbriggan Primary Care Ltd., 70 Dublin Street, Balbriggan, Co. Dublin, K32hc94",Dublin,320189.6996,263249.343
Hickey's Pharmacy,"Unit 254, The Square Shopping Centre, Tallaght, Dublin 24",Dublin,308632.98,227474.77
Hilltop Pharmacy,"Hilltop Shopping Centre, Station Road, Raheny, Dublin 5",Dublin,321513.922,238823.533
Hilton's Allcare Pharmacy,"Hilton's Pharmacy, Unit 108/109, Dun Laoghaire Shopping Centre, Co. Dublin",Dublin,324327.5636,228490.7189
Hilton's Pharmacy,"3 Hilson House, Magic Carpet Mall, Cornelscourt, Dublin 18",Dublin,322356.72,225842.16
Hilton's Pharmacy (Parnell Street) Ltd.,"Unit 4, Greencourt, Parnell Street, Dublin 1",Dublin,315637.31,234795.3
Hilton's Pharmacy (Rathfarnham) Ltd.,"11 Main Street, Rathfarnham, Dublin 14",Dublin,314372.36,229009.98
Homepharm Limited,"45a Homefarm Road, Drumcondra, Dublin 9",Dublin,316154.65,237407.31
Hunters Pharmacy Windy Arbour Limited,"5 Olivemount Terrace, Windy Arbour, Dundrum, Dublin 14",Dublin,317015.95,229675.68
Huntstown Pharmacy Limited,"Unit 6, Pinewood House, Huntstown Road, Huntstown, Dublin 15",Dublin,305959.18,240222.53
Janet Dillon Pharmacy,"Unit 2, Norseman Court, Manor Street, Dublin 7",Dublin,314389.34,234774.27
Jobstown Pharmacy,"Unit 2 Kiltalawn Shopping Centre, Jobstown, Tallaght, Dublin 24",Dublin,306745.72,226450.81
John Byrne Chemist Ltd,"4 Merrion Road, Ballsbridge, Dublin 4",Dublin,317922.15,232429.17
Johnson Pharmacy,"Johnson's Pharmacy, Supervalu Shopping Centre, Walkinstown Road, Dublin 12, D12xdk2",Dublin,311283.7446,231456.3229
Johnstons Pharmacy,"21-23 Ranelagh, Dublin 6",Dublin,316282.86,231988.75
Johnstown Pharmacy Limited,"31 Johnstown Road, Dun Laoghaire, Co. Dublin",Dublin,323743.69,225809.91
Jordan's Pharmacy,"43 Sundrive Road, Dublin 12",Dublin,313768.82,231419.208
Keatinge's Pharmacy,"3 Tyrconnell Road, Inchicore, Dublin 8",Dublin,311896.98,233409.95
Kelly's Allcare Pharmacy,"Old Nangor Road, Dublin 22, D22v2y8",Dublin,305725.7816,231208.0469
Kerins Allcare Pharmacy,"Kerins Pharmacy, 32 Castle Street, Dalkey, Co. Dublin, A96rd37",Dublin,326467.7566,226872.9619
Kerins Allcare Pharmacy,"Kerins Pharmacy, 32 Castle Street, Dalkey, Co. Dublin, A96rd37",Dublin,326467.7566,226872.9619
Kiely's Pharmacy,"282 Ballyfermot Road, Ballyfermot, Dublin 10",Dublin,309853.77,233705.5
Kiely's Pharmacy,"203 Le Fanu Road, Ballyfermot, Dublin 10",Dublin,309497.55,233636.78
Kilbarrack Pharmacy (Stack's),"Units 17 - 18, Kilbarrack Shopping Centre, Kilbarrack, Dublin 5",Dublin,321996.78,239134.95
Killinarden Pharmacy,"Unit 4, Killinarden Shopping Centre, Tallaght, Dublin 24",Dublin,308134.63,226375.66
