ID,AREA_DESC,ROADNAME,Area,TOTAL_SPACES,DIPPED_FOOTPATH,PARK_SIGN,ROAD_MARKING,OCCUPIED,Adjacent_Services,LAT,LONG
358,Blakestown Resource Centre,Blakestown Way,,1, , ,TRUE, ,Community Centre,53.39655048,-6.399969131
359,"Blanchardstown Retail Park, McDonalds",BLAKESTOWN WAY,,2, , ,TRUE, ,Retail Park,53.39279547,-6.395478641
360,"Blanchardstown Retail Park, McDonalds",BLAKESTOWN WAY,,2, , ,TRUE, ,Retail Park,53.39279532,-6.39553547
361,Blanchardstown Retail Park,BLANCHARDSTOWN ROAD SOUTH,,12, , ,TRUE, ,Retail Park,53.39452785,-6.39405009
362,"Blanchardstown Retail Park, Smyth's Toys",BLANCHARDSTOWN ROAD SOUTH,,4,TRUE,TRUE,TRUE, ,Retail Park,53.39483437,-6.393815162
363,"Blanchardstown Retail Park, Smyth's Toys",BLANCHARDSTOWN ROAD SOUTH,,4,TRUE,TRUE,TRUE, ,Retail Park,53.39481584,-6.393859252
364,"Blanchardstown Retail Park, Smyth's Toys",BLANCHARDSTOWN ROAD SOUTH,,4,TRUE,TRUE,TRUE, ,Retail Park,53.39479614,-6.393891037
365,"Blanchardstown Retail Park, Smyth's Toys",BLANCHARDSTOWN ROAD SOUTH,,4,TRUE,TRUE,TRUE, ,Retail Park,53.39477413,-6.393929355
366,Blanchardstown Retail Park,BLAKESTOWN WAY,,2, , ,TRUE, ,"Bookmakers, Retail Park",53.39278361,-6.394447394
367,Blanchardstown Retail Park,BLAKESTOWN WAY,,2, , ,TRUE, ,"Bookmakers, Retail Park",53.39278351,-6.394479656
368,Saint Lukes Church Carpark,Dromheath Avenue,,3, , ,TRUE, ,Church,53.40639196,-6.392863767
369,Mulhuddart Community Centre,Castlecurragh,,1, , ,TRUE, ,Community Centre,53.40505229,-6.393645902
370,Coolmine Sports & Leisure Centre,Grove Road,,4, , ,TRUE, ,Sports Club,53.38703493,-6.395072093
371,Coolmine Sports & Leisure Centre,Grove Road,,4, , ,TRUE,TRUE,Sports Club,53.38705833,-6.395070181
372,Coolmine Sports & Leisure Centre,Grove Road,,4, , ,TRUE, ,Sports Club,53.38708143,-6.395070655
373,Coolmine Sports & Leisure Centre,Grove Road,,4, , ,TRUE,TRUE,Sports Club,53.38710786,-6.395068886
374,Fingal County Council Building,GROVE ROAD,,4, ,TRUE,TRUE, ,Local Authority,53.39069615,-6.393963699
375,Fingal County Council Building,GROVE ROAD,,4, ,TRUE,TRUE, ,Local Authority,53.39068134,-6.393946031
376,Fingal County Council Building,GROVE ROAD,,4, ,TRUE,TRUE, ,Local Authority,53.39066937,-6.393926864
377,Mulhuddart Shopping Centre,Castlecurragh,,2, , ,TRUE, ,"Bookmakers, Supermarket",53.40539592,-6.393517254
378,Mulhuddart Shopping Centre,Castlecurragh,,2, , ,TRUE, ,"Bookmakers, Supermarket",53.405375,-6.393478337
379,Saint Lukes Church Carpark,Dromheath Avenue,,3, , ,TRUE, ,Church,53.4063628,-6.392770557
380,Saint Lukes Church Carpark,Dromheath Avenue,,3, , ,TRUE, ,Church,53.40637559,-6.39281674
381,Blanchardstown Retail Park,NA,,4, ,TRUE,TRUE, ,"Retail Park, TGI, Leisure Plex",53.39233325,-6.39317158
382,Blanchardstown Retail Park,NA,,4, ,TRUE,TRUE,TRUE,"Retail Park, TGI, Leisure Plex",53.3923138,-6.393136157
383,Blanchardstown Retail Park,NA,,4, ,TRUE,TRUE,TRUE,"Retail Park, TGI, Leisure Plex",53.39229219,-6.393094972
384,Blanchardstown Retail Park,NA,,4, , ,TRUE,TRUE,"Retail Park, TGI, Leisure Plex",53.39227045,-6.39305593
385,"Blanchardstown Retail Park, Leisure Plex",NA,,2,TRUE,TRUE,TRUE,TRUE,Retail Park,53.3921528,-6.392868124
386,"Blanchardstown Retail Park, Leisure Plex",NA,,2,TRUE,TRUE,TRUE,TRUE,Retail Park,53.39212882,-6.392825217
387,Draoicht Theatre/Leisure Plex,NA,,2, ,TRUE,TRUE,TRUE,"Theatre, Leisure Plex, Cafe",53.39157207,-6.392118529
388,Draoicht Theatre/Leisure Plex,NA,,2, ,TRUE,TRUE,TRUE,"Theatre, Leisure Plex, Cafe",53.39153516,-6.392084802
389,Draoicht Theatre,NA,,9,TRUE,TRUE,TRUE,TRUE,Theatre,53.39125762,-6.391641094
390,Draoicht Theatre,NA,,9,TRUE,TRUE,TRUE,TRUE,Theatre,53.3912699,-6.391679756
391,Draoicht Theatre,NA,,9,TRUE,TRUE,TRUE,TRUE,Theatre,53.39124025,-6.39160118
392,Draoicht Theatre,NA,,9,TRUE,TRUE,TRUE,TRUE,Theatre,53.3912155,-6.391557963
393,Draoicht Theatre,NA,,9,TRUE,TRUE,TRUE,TRUE,Theatre,53.39119091,-6.39150786
394,Draoicht Theatre,NA,,9,TRUE,TRUE,TRUE, ,Theatre,53.39116657,-6.391435027
395,Draoicht Theatre,NA,,9,TRUE,TRUE,TRUE, ,Theatre,53.39114707,-6.391371526
396,Draoicht Theatre,NA,,9,TRUE,TRUE,TRUE, ,Theatre,53.39112541,-6.391305692
397,Draoicht Theatre,NA,,9,TRUE,TRUE,TRUE,TRUE,Theatre,53.39110707,-6.391258359
398,Blanchardstown Shopping Centre (Yellow),NA,,4, ,TRUE,TRUE,TRUE,Shopping Centre,53.39296537,-6.391679723
399,Blanchardstown Shopping Centre (Yellow),NA,,4, ,TRUE,TRUE,TRUE,Shopping Centre,53.39294523,-6.391711409
400,Blanchardstown Shopping Centre (Yellow),NA,,4, ,TRUE,TRUE,TRUE,Shopping Centre,53.39292277,-6.391746936
401,Blanchardstown Shopping Centre (Yellow),NA,,4, ,TRUE,TRUE, ,Shopping Centre,53.39290634,-6.391779709
402,Blanchardstown Shopping Centre (Blue),NA,,6, ,TRUE,TRUE, ,Shopping Centre,53.39090335,-6.389935054
403,Blanchardstown Shopping Centre (Blue),NA,,6, ,TRUE,TRUE,TRUE,Shopping Centre,53.3908811,-6.389897226
404,Blanchardstown Shopping Centre (Blue),NA,,6, ,TRUE,TRUE,TRUE,Shopping Centre,53.3908586,-6.389855304
405,Blanchardstown Shopping Centre (Blue),NA,,6, ,TRUE,TRUE,TRUE,Shopping Centre,53.39083791,-6.389822285
406,Blanchardstown Shopping Centre (Blue),NA,,6, ,TRUE,TRUE, ,Shopping Centre,53.39082826,-6.39005293
407,Blanchardstown Shopping Centre (Blue),NA,,6, ,TRUE,TRUE,TRUE,Shopping Centre,53.39084484,-6.390082012
408,Blanchardstown Shopping Centre (Blue MultiStorey 1),NA,,2, ,TRUE,TRUE, ,Shopping Centre,53.39110552,-6.389972285
409,Blanchardstown Shopping Centre (Blue MultiStorey 1),NA,,2, ,TRUE,TRUE,TRUE,Shopping Centre,53.39112625,-6.389933116
410,Blanchardstown Shopping Centre (Blue MultiStorey 2),NA,,2, ,TRUE,TRUE, ,Shopping Centre,53.39110813,-6.389979929
411,Blanchardstown Shopping Centre (Blue MultiStorey 2),NA,,2, ,TRUE,TRUE, ,Shopping Centre,53.39112986,-6.389941905
412,Blanchardstown Shopping Centre (Blue MultiStorey 3),NA,,2, ,TRUE,TRUE, ,Shopping Centre,53.3911127,-6.38998723
413,Blanchardstown Shopping Centre (Blue MultiStorey 3),NA,,2, ,TRUE,TRUE, ,Shopping Centre,53.39113447,-6.389952298
414,"Blanchardstown Retail Park, TK Maxx",NA,,12, ,TRUE,TRUE, ,Retail Park,53.39452984,-6.393778542
415,Blanchardstown Retail Park,NA,,12, , ,TRUE, ,Retail Park,53.3945484,-6.393802405
416,Blanchardstown Retail Park,NA,,12, ,TRUE,TRUE, ,Retail Park,53.39456382,-6.393832907
417,Blanchardstown Retail Park,NA,,12, ,TRUE,TRUE, ,Retail Park,53.39457878,-6.393861912
418,Blanchardstown Retail Park,NA,,12, ,TRUE,TRUE, ,Retail Park,53.39459373,-6.393886806
419,Blanchardstown Retail Park,NA,,12, ,TRUE,TRUE,TRUE,Retail Park,53.39460964,-6.393914808
420,Blanchardstown Retail Park,NA,,12, , ,TRUE, ,Retail Park,53.3944475,-6.393909925
421,Blanchardstown Retail Park,NA,,12, , ,TRUE, ,Retail Park,53.39446371,-6.393940053
422,Blanchardstown Retail Park,NA,,12, , ,TRUE, ,Retail Park,53.39447729,-6.393965016
423,Blanchardstown Retail Park,NA,,12, , ,TRUE, ,Retail Park,53.39449528,-6.39399504
424,Blanchardstown Retail Park,NA,,12, , ,TRUE, ,Retail Park,53.3945079,-6.394021762
425,"Blanchardstown Retail Park, Starbucks",NA,,1, , ,TRUE,TRUE,"Cafe, Retail Park",53.39480347,-6.391326532
426,Blanchardstown Shopping Centre (Yellow),NA,,4, ,TRUE,TRUE,TRUE,Shopping Centre,53.39304342,-6.391828146
427,Blanchardstown Shopping Centre (Yellow),NA,,4, ,TRUE,TRUE, ,Shopping Centre,53.39302556,-6.391860991
428,Blanchardstown Shopping Centre (Yellow),NA,,4, ,TRUE,TRUE,TRUE,Shopping Centre,53.39300655,-6.391893995
429,Blanchardstown Shopping Centre (Yellow),NA,,4, ,TRUE,TRUE, ,Shopping Centre,53.3929883,-6.391927347
430,Blanchardstown Shopping Centre (Green),NA,,8,TRUE,TRUE,TRUE,TRUE,Shopping Centre,53.39414767,-6.390327286
431,Blanchardstown Shopping Centre (Green),NA,,8,TRUE,TRUE,TRUE,TRUE,Shopping Centre,53.39416545,-6.390293373
432,Blanchardstown Shopping Centre (Green),NA,,8,TRUE,TRUE,TRUE,TRUE,Shopping Centre,53.39418445,-6.390259707
433,Blanchardstown Shopping Centre (Green),NA,,8,TRUE,TRUE,TRUE,TRUE,Shopping Centre,53.39420207,-6.390227443
434,Blanchardstown Shopping Centre (Green),NA,,8,TRUE,TRUE,TRUE,TRUE,Shopping Centre,53.39411547,-6.390272153
435,Blanchardstown Shopping Centre (Green),NA,,8,TRUE,TRUE,TRUE,TRUE,Shopping Centre,53.39413351,-6.390244014
436,Blanchardstown Shopping Centre (Green),NA,,8,TRUE,TRUE,TRUE,TRUE,Shopping Centre,53.39415557,-6.390210124
437,Blanchardstown Shopping Centre (Green),NA,,8,TRUE,TRUE,TRUE,TRUE,Shopping Centre,53.39417101,-6.390177348
438,Coolmine Train Station,Carpenterstown Road,,5,TRUE,TRUE,TRUE, ,Train,53.3773417,-6.392032109
439,Coolmine Train Station,Carpenterstown Road,,5,TRUE,TRUE,TRUE, ,Train,53.37734161,-6.391996585
440,Coolmine Train Station,Carpenterstown Road,,5,TRUE,TRUE,TRUE, ,Train,53.37734276,-6.391957657
441,Coolmine Train Station,Carpenterstown Road,,5,TRUE,TRUE,TRUE, ,Train,53.3773439,-6.391924742
442,Coolmine Train Station,Carpenterstown Road,,5,TRUE,TRUE,TRUE, ,Train,53.37734415,-6.391887932
443,"Blanchardstown Retail Park, Homestore",ENTRANCE TO SHOPPING CENTRE,,4, ,TRUE,TRUE, ,Retail Park,53.39555982,-6.39238205
444,"Blanchardstown Retail Park, Homestore",ENTRANCE TO SHOPPING CENTRE,,4, ,TRUE,TRUE, ,Retail Park,53.39553718,-6.392345792
445,"Blanchardstown Retail Park, Homestore",ENTRANCE TO SHOPPING CENTRE,,4, ,TRUE,TRUE, ,Retail Park,53.39551225,-6.392303376
446,"Blanchardstown Retail Park, Homestore",ENTRANCE TO SHOPPING CENTRE,,4, ,TRUE,TRUE,TRUE,Retail Park,53.39549026,-6.392267622
447,Crowne Plaza Hotel,ENTRANCE TO SHOPPING CENTRE,,2,TRUE, ,TRUE, ,Hotel,53.39545721,-6.390095511
448,Crowne Plaza Hotel,ENTRANCE TO SHOPPING CENTRE,,2,TRUE, ,TRUE, ,Hotel,53.39544388,-6.39006371
449,"Blanchardstown Retail Park, PC World",NA,,2,TRUE,TRUE,TRUE, ,Retail Park,53.39480205,-6.388952549
450,"Blanchardstown Retail Park, PC World",NA,,2,TRUE,TRUE,TRUE, ,Retail Park,53.39478639,-6.388924198
451,"Blanchardstown Retail Park, Currys",NA,,2,TRUE,TRUE,TRUE, ,Retail Park,53.39392838,-6.38750748
452,"Blanchardstown Retail Park, Currys",NA,,2,TRUE,TRUE,TRUE, ,Retail Park,53.39390655,-6.387469298
453,Castleknock Community College,NA,,1, , ,TRUE, ,Secondary School,53.37222741,-6.3901994
454,Outside Spar,Carpenterstown Road,,2, , ,TRUE, ,"Chemist, Supermarket, Takeaway, Video Shop",53.37231211,-6.389327244
455,Outside Spar,Carpenterstown Road,,2, , ,TRUE, ,"Chemist, Supermarket, Takeaway, Pub, Video Shop",53.37233076,-6.389343232
456,"Blanchardstown Retail Park, AIB",NA,,1, , ,TRUE,TRUE,Retail Park,53.38970421,-6.38943764
457,"Blanchardstown Retail Park, Burtons",WESTEND RETAIL PARK,,3,TRUE,TRUE,TRUE, ,Retail Park,53.39036068,-6.387312764
458,"Blanchardstown Retail Park, Burtons",WESTEND RETAIL PARK,,3,TRUE,TRUE,TRUE, ,Retail Park,53.39037287,-6.387282268
459,"Blanchardstown Retail Park, Burtons",WESTEND RETAIL PARK,,3,TRUE,TRUE,TRUE,TRUE,Retail Park,53.39038859,-6.387250468
460,"Blanchardstown Retail Park, Pavers",WESTEND RETAIL PARK,,5,TRUE,TRUE,TRUE, ,Retail Park,53.39033043,-6.387397516
461,"Blanchardstown Retail Park, Pavers",WESTEND RETAIL PARK,,5,TRUE,TRUE,TRUE, ,Retail Park,53.3903173,-6.387431301
462,"Blanchardstown Retail Park, Pavers",WESTEND RETAIL PARK,,5,TRUE,TRUE,TRUE, ,Retail Park,53.39030429,-6.387468329
463,"Blanchardstown Retail Park, Tjs",WESTEND RETAIL PARK,,5,TRUE,TRUE,TRUE, ,Retail Park,53.39028981,-6.387500809
464,"Blanchardstown Retail Park, Tjs",WESTEND RETAIL PARK,,5,TRUE,TRUE,TRUE, ,Retail Park,53.39027763,-6.387530975
465,Outside Carpenters Pub,Carpenterstown Road,,1, , ,TRUE, ,"Pub, Off Licence",53.37193441,-6.38885407
466,Blanchardstown Retail Park,NA,,3, , ,TRUE, ,Retail Park,53.39156657,-6.386969507
467,Blanchardstown Retail Park,NA,,3, , ,TRUE, ,Retail Park,53.39158621,-6.386934167
468,Blanchardstown Retail Park,NA,,3, , ,TRUE, ,Retail Park,53.39160901,-6.386894519
469,"Blanchardstown Retail Park, Heatons",NA,,2, ,TRUE,TRUE, ,Retail Park,53.39125704,-6.385957398
470,"Blanchardstown Retail Park, Heatons",NA,,2, ,TRUE,TRUE,TRUE,Retail Park,53.39124244,-6.385998311
471,"Blanchardstown Retail Park, Argos Extra",NA,,4, ,TRUE,TRUE, ,Retail Park,53.39114607,-6.385817483
472,"Blanchardstown Retail Park, Argos Extra",NA,,4, ,TRUE,TRUE,TRUE,Retail Park,53.39113056,-6.385851492
473,"Blanchardstown Retail Park, Argos Extra",NA,,4, ,TRUE,TRUE,TRUE,Retail Park,53.39111748,-6.38588318
474,"Blanchardstown Retail Park, Argos Extra",NA,,4, ,TRUE,TRUE, ,Retail Park,53.39110614,-6.385912612
475,Blanchardstown Shopping Centre (Red),NA,,5,TRUE,TRUE,TRUE,TRUE,Shopping Centre,53.39212865,-6.387723491
476,Blanchardstown Shopping Centre (Red),NA,,5,TRUE,TRUE,TRUE, ,Shopping Centre,53.39210946,-6.387694565
477,Blanchardstown Shopping Centre (Red),NA,,5,TRUE,TRUE,TRUE,TRUE,Shopping Centre,53.3920944,-6.387667825
478,Blanchardstown Shopping Centre (Red),NA,,5,TRUE,TRUE,TRUE,TRUE,Shopping Centre,53.39207965,-6.387641829
479,Blanchardstown Shopping Centre (Red),NA,,5,TRUE,TRUE,TRUE,TRUE,Shopping Centre,53.3920656,-6.387613785
480,Blanchardstown Shopping Centre (Red),BLANCHARDSTOWN SHOPPING CENTRE ACCESS,,4, ,TRUE,TRUE,TRUE,Shopping Centre,53.39261007,-6.387889632
481,Blanchardstown Shopping Centre (Red),BLANCHARDSTOWN SHOPPING CENTRE ACCESS,,4, ,TRUE,TRUE,TRUE,Shopping Centre,53.39259514,-6.387920716
482,Blanchardstown Shopping Centre (Red),BLANCHARDSTOWN SHOPPING CENTRE ACCESS,,4, ,TRUE,TRUE,TRUE,Shopping Centre,53.39257785,-6.387949621
483,Blanchardstown Shopping Centre (Red),BLANCHARDSTOWN SHOPPING CENTRE ACCESS,,4, ,TRUE,TRUE,TRUE,Shopping Centre,53.39255758,-6.387979011
484,Saint Patrick's School,Luttrellstown Avenue,,1, , ,TRUE, ,"Primary School, Community Centre",53.36889725,-6.386948162
485,Riverdale Community College,BLANCHARDSTOWN ROAD NORTH,,2, , ,TRUE, ,Secondary School,53.40138959,-6.379605591
486,Riverdale Community College,BLANCHARDSTOWN ROAD NORTH,,2, , ,TRUE, ,Secondary School,53.40138626,-6.379546924
487,Roselawn Shopping Centre,Roselawn Road,,4,TRUE,TRUE,TRUE, ,"Chemist, Newsagents, Supermarket, Hairdresser, Cafe, Shopping Centre, Pub",53.38297854,-6.381648386
488,Roselawn Shopping Centre,Roselawn Road,,4,TRUE,TRUE,TRUE,TRUE,"Chemist, Newsagents, Supermarket, Hairdresser, Cafe, Shopping Centre, Pub",53.38301255,-6.381667497
489,Roselawn Shopping Centre,Roselawn Road,,4,TRUE,TRUE,TRUE,TRUE,"Chemist, Newsagents, Supermarket, Hairdresser, Cafe, Shopping Centre, Pub",53.38304528,-6.381683933
490,Superquinn Carpark,RAYMOR PARK,,4,TRUE,TRUE,TRUE,TRUE,"Chemist, Bookmakers, Newsagents, Supermarket, Post Office, Hairdresser",53.38649209,-6.378642546
491,Superquinn Carpark,RAYMOR PARK,,4,TRUE,TRUE,TRUE, ,"Chemist, Bookmakers, Newsagents, Supermarket, Post Office, Hairdresser",53.38650824,-6.378682354
492,Superquinn Carpark,RAYMOR PARK,,4,TRUE,TRUE,TRUE, ,"Chemist, Bookmakers, Newsagents, Supermarket, Post Office, Hairdresser",53.38652431,-6.378713727
493,Superquinn Carpark,RAYMOR PARK,,4,TRUE,TRUE,TRUE, ,"Chemist, Bookmakers, Newsagents, Supermarket, Post Office, Hairdresser",53.38653804,-6.378743522
494,Outside Blanchardstown Youth Reach Centre,Main Street,,1,TRUE,TRUE,TRUE, ,Community Centre,53.38769108,-6.37918022
495,Church of Saint Thomas the Apostle Carpark,Laurel Lodge Road,,4,TRUE, ,TRUE, ,Church,53.37727507,-6.377458493
496,Church of Saint Thomas the Apostle Carpark,Laurel Lodge Road,,4, , ,TRUE, ,Church,53.37729831,-6.377518989
497,Church of Saint Thomas the Apostle Carpark,Laurel Lodge Road,,4, , ,TRUE, ,Church,53.37725429,-6.377654976
498,Church of Saint Thomas the Apostle Carpark,Laurel Lodge Road,,4, , ,TRUE, ,Church,53.37718035,-6.377489549
499,Carpark off Main Street,Main Street,,2, , ,TRUE, ,"GP, Restaurant",53.38682232,-6.376401389
500,Carpark off Main Street,Main Street,,2, , ,TRUE, ,"Chemist, Chartbusters, Bathroom and Tiles",53.38680396,-6.37642799
501,Laurel Lodge Carpark,Laurel Lodge Road,,1, , ,TRUE, ,"Chemist, Butcher, Bookmakers, Supermarket, Hairdresser",53.37769712,-6.376874063
502, ,Main Street,,1,TRUE,TRUE,TRUE, ,"Chemist, Newsagents, Hairdresser, Bank,  Adult Education Centre",53.38588538,-6.375161334
503,Saint Brigids Church Carpark,Church Avenue,,3, ,TRUE,TRUE, ,Church,53.38518952,-6.374948228
504,Saint Brigids Church Carpark,Church Avenue,,3, ,TRUE,TRUE, ,"Church, Community Centre",53.38518904,-6.374985736
505,Saint Brigids Church Carpark,Church Avenue,,3, ,TRUE,TRUE, ,"Church, Community Centre",53.38518796,-6.37502754
506,Carpark off Main Street,Main Street,,1, ,TRUE, , ,Bookshop,53.3860104,-6.373572592
507,Axa Insurance,Main Street,,1,TRUE,TRUE,TRUE,TRUE,"Hairdressers, Cafe, Takeaway, Insurance",53.3856288,-6.373619114
508,James Connolly Memorial Hospital,JAMES CONNOLLY HOSPITAL,,9, ,TRUE,TRUE, ,Hospital,53.38795198,-6.370291873
509,James Connolly Memorial Hospital,JAMES CONNOLLY HOSPITAL,,9, ,TRUE,TRUE, ,Hospital,53.3877028,-6.369277787
510,James Connolly Memorial Hospital,JAMES CONNOLLY HOSPITAL,,9, ,TRUE,TRUE,TRUE,Hospital,53.38768294,-6.369240337
511,James Connolly Memorial Hospital,JAMES CONNOLLY HOSPITAL,,9, ,TRUE,TRUE,TRUE,Hospital,53.38766097,-6.369204256
512,James Connolly Memorial Hospital,JAMES CONNOLLY HOSPITAL,,9, ,TRUE,TRUE, ,Hospital,53.38764089,-6.369162597
513,James Connolly Memorial Hospital,JAMES CONNOLLY HOSPITAL,,9, ,TRUE,TRUE,TRUE,Hospital,53.38762467,-6.369113565
514,James Connolly Memorial Hospital,JAMES CONNOLLY HOSPITAL,,9, ,TRUE,TRUE,TRUE,Hospital,53.3876077,-6.369068955
515,James Connolly Memorial Hospital,JAMES CONNOLLY HOSPITAL,,9, ,TRUE,TRUE,TRUE,Hospital,53.38759482,-6.369027703
516,James Connolly Memorial Hospital,JAMES CONNOLLY HOSPITAL,,9, ,TRUE,TRUE,TRUE,Hospital,53.38758442,-6.368989637
517,Castleknock College Carpark,NA,,3,TRUE, ,TRUE, ,Secondary School,53.36886484,-6.36823766
518,Castleknock College Carpark,NA,,3,TRUE, ,TRUE, ,Secondary School,53.36882884,-6.368220325
519,Castleknock College Carpark,NA,,3,TRUE, ,TRUE,TRUE,Secondary School,53.36889613,-6.36825595
520,Castleknock Centre Carpark,Castleknock Road,,1, , ,TRUE, ,"Chemist, Post Office, Cafe",53.37500734,-6.363002307
521,Carpark,Castleknock Road,,1, , ,TRUE, ,"Chemist, Supermarket, Hairdresser, LaundryOff License",53.37304874,-6.361261975
522,Castleknock Educate Together School & Tennis Club Car Park,Beech Park Avenue,,1,TRUE, ,TRUE, ,"Primary School, Sports Club",53.37977355,-6.361834431
523,Our Lady Mother of the Church Carpark,Beech Park Lawn,,1,TRUE, ,TRUE, ,Church,53.3754144,-6.360735055
524,Our Lady Mother of the Church Carpark,Beech Park Lawn,,3,TRUE, ,TRUE, ,Church,53.37524314,-6.360691823
525,Our Lady Mother of the Church Carpark,Beech Park Lawn,,3,TRUE, ,TRUE, ,Church,53.37520722,-6.360828954
526,Our Lady Mother of the Church Carpark,Beech Park Lawn,,3,TRUE, ,TRUE, ,Church,53.37518904,-6.360896988
527,Ashleigh Retail Centre Carpark,Castleknock Road,,2, ,TRUE, , ,"Bookmakers, Retail Park, Restaurant, Gym",53.37261431,-6.360374835
528,Ashleigh Retail Centre Carpark,Castleknock Road,,2, , ,TRUE, ,"Bookmakers, Retail Park, Restaurant, Gym",53.37258781,-6.360387754
529,Coolmine Rugby Club,RIVER ROAD,,2,TRUE, ,TRUE, ,Sports Club,53.37874701,-6.341463022
530,Coolmine Rugby Club,RIVER ROAD,,2,TRUE, ,TRUE, ,Sports Club,53.37872569,-6.341482563
531,Fingal Ravens GAA Club,Fingal Ravens Carpark 1,,2, , ,TRUE, ,Sports Club,53.50372701,-6.303884323
532,Fingal Ravens GAA Club,Fingal Ravens Carpark 2,,2, , ,TRUE, ,Sports Club,53.50373582,-6.303931078
533,Rowlestown Church,Rowlestown East,,1,TRUE, ,TRUE, ,"Church, Community Centre",53.4901363,-6.300868095
534,St. Margarets School,St. Margarets,,1,TRUE, ,TRUE, ,"Primary School, Church",53.43033655,-6.300890916
535,Sports Link Carpark,NA,,10,TRUE, ,TRUE, ,Sports Club,53.40822538,-6.245847446
536,Sports Link Carpark,NA,,10,TRUE, ,TRUE, ,Sports Club,53.4082299,-6.246000036
537,Sports Link Carpark,NA,,10, , ,TRUE, ,Sports Club,53.40823044,-6.246072643
538,Sports Link Carpark,NA,,10, , ,TRUE, ,Sports Club,53.4082327,-6.246240535
539,Sports Link Carpark,NA,,10,TRUE, ,TRUE, ,Sports Club,53.40825533,-6.246307747
540,Sports Link Carpark,NA,,10, , ,TRUE, ,Sports Club,53.40825788,-6.246472684
541,Sports Link Carpark,NA,,10, , ,TRUE, ,Sports Club,53.4082583,-6.246541423
542,Sports Link Carpark,NA,,10, , ,TRUE, ,Sports Club,53.40825871,-6.246712533
543,Sports Link Carpark,NA,,10,TRUE, ,TRUE, ,Sports Club,53.40825988,-6.246781626
544,Sports Link Carpark,NA,,10,TRUE, ,TRUE, ,Sports Club,53.40825562,-6.246942925
545,Sports Link Carpark,NA,,3, ,TRUE,TRUE, ,Sports Club,53.40812603,-6.247254365
546,Sports Link Carpark,NA,,3, ,TRUE,TRUE, ,Sports Club,53.40809896,-6.247254545
547,Sports Link Carpark,NA,,3, ,TRUE,TRUE, ,Sports Club,53.40807291,-6.247254992
548,Starlights GAA,NA,,2,TRUE, ,TRUE, ,Sports Club,53.40784447,-6.247779081
549,Starlights GAA,NA,,2,TRUE, ,TRUE, ,Sports Club,53.40784587,-6.247845489
550,PST Sports Club,NA,,2,TRUE, ,TRUE, ,Sports Club,53.40824514,-6.241500674
551,PST Sports Club,NA,,2,TRUE, ,TRUE, ,Sports Club,53.40835946,-6.241453454
552,Outside Pavillions Main Entrance,NA,,10,TRUE,TRUE,TRUE,TRUE,Shopping Centre,53.45388941,-6.218499548
553,Balbriggan Town Centre and Church Carpark,N1,,5, , , , ,"Church, Town Centre",53.6044243,-6.184575707
554,Malahide Castle,DUBLIN ROAD,,2, , ,TRUE, ,Park,53.45003298,-6.157145112
555,Skerries Train Station,TRAIN STATION ACCESS,,6, ,TRUE,TRUE,TRUE,Train,53.57433768,-6.119319502
556,Skerries Community Centre,THOMAS HAND STREET,,1,TRUE, ,TRUE, ,Community Centre,53.57755431,-6.11167468
557,Skerries Community Centre,THOMAS HAND STREET,,1, ,TRUE, , ,Community Centre,53.57796347,-6.111507328
558,Ardgillan Demesne,NA,,2, , ,TRUE, ,Park,53.5819278,-6.160714359
559,Ardgillan Demesne,NA,,2, , ,TRUE, ,Park,53.58189905,-6.160704299
560,Ardgillan Demesne,NA,,2, , ,TRUE, ,Park,53.58196146,-6.160551035
561,Ardgillan Demesne,NA,,2, , ,TRUE, ,Park,53.58193263,-6.160536033
562,Ardgillan Demesne,NA,,2, , ,TRUE, ,Park,53.58201277,-6.160304958
563,Ardgillan Demesne,NA,,2, , ,TRUE, ,Park,53.58198994,-6.160296761
564,Ardgillan Demesne,NA,,2, , ,TRUE, ,Park,53.58202773,-6.160211006
565,Ardgillan Demesne,NA,,2, , ,TRUE, ,Park,53.58200734,-6.160197758
566,Ardgillan Demesne,NA,,2, , ,TRUE, ,Park,53.58197751,-6.160473298
567,Ardgillan Demesne,NA,,2, , ,TRUE, ,Park,53.58195077,-6.160457495
568,Millennium Park,Snugborough Road Extension,, , , ,TRUE, ,Park,53.38628049,-6.400052911
569,Millennium Park,Snugborough Road Extension,, , , ,TRUE, ,Park,53.38625635,-6.399915946
570,Millennium Park,Snugborough Road Extension,, , , ,TRUE, ,Park,53.38626107,-6.399761682
571,Millennium Park,Snugborough Road Extension,, , , ,TRUE, ,Park,53.38624953,-6.399624249
572,Millennium Park,Snugborough Road Extension,, , , ,TRUE, ,Park,53.38625231,-6.399470056
573,Millennium Park,Snugborough Road Extension,, , , ,TRUE, ,Park,53.38626031,-6.399343243
574,Millennium Park,Snugborough Road Extension,, , , ,TRUE, ,Park,53.38626309,-6.39918905
575,Off Yellow Walls Road,Yellow Walls Road,,2, , ,TRUE, ,Primary School,53.4496354,-6.164523211
576,Off Yellow Walls Road,Yellow Walls Road,,2, , ,TRUE, ,Primary School,53.44963352,-6.164476554
577,Outside Fingal Burial Ground,Balgriffin Road,, , , ,TRUE, ,Burial Ground,53.40919017,-6.175187016
578,Outside Fingal Burial Ground,Balgriffin Road,, , , ,TRUE, ,Burial Ground,53.40920763,-6.174925204
